CountryName,IndicatorValue,tonnes_pc
Qatar,90170,31.3
Korea,630870,24.47
Kuwait,89460,20.95
United Arab Emirates,200300,20.25
Canada,574400,15.22
Australia,386620,15.16
United States,4981300,15.05
Saudi Arabia,514600,14.78
Oman,73370,14.37
Turkmenistan,71730,11.89
