country,tonnes,2017,2018
Bangladesh, 0.50 ,6.74%,5.15%
Brazil, 2.01 ,1.79%,-4.92%
Colombia, 1.56 ,-9.19%,4.51%
Egypt, 2.41 ,2.02%,3.17%
India, 1.76 ,5.41%,5.78%
Indonesia, 2.13 ,7.66%,9.42%
Morocco, 1.81 ,4.52%,1.14%
Nigeria, 0.63 ,4.15%,15.72%
Pakistan, 0.94 ,9.49%,5.40%
Philippines, 1.30 ,9.34%,4.14%
