CountryName,IndicatorValue,tonnes_pc
China,10.31,7.17
United States,4.98,15.05
India,2.43,1.76
Russian Federation,1.61,11.02
Japan,1.11,8.75
Germany,0.71,8.47
Korea,0.63,24.47
Iran,0.63,7.49
Indonesia,0.58,2.13
Canada,0.57,15.22
